rowid,text,party,user,url,text_clean,pred,score,party_test,accurate
173654,"In celebration of #NationalSelfieDay, here are a few of my faves w/ Georgians visiting the @uscapitol #gapol https://t.co/uIRZku9vWM",Republican,sendavidperdue,https://twitter.com/sendavidperdue/status/877604990994591745,"In celebration of #NationalSelfieDay, here are a few of my faves w/ Georgians visiting the @uscapitol #gapol https://t.co/uIRZku9vWM",Republican,0.6037248373031616,Republican,1
61445,Honored to have such great support. Thank you to everyone who came to the 1st Barnburner. Don't miss the next one:äó_ https://t.co/65sTdgLGSF,Republican,RandPaul,https://twitter.com/RandPaul/status/783790585043791872,Honored to have such great support. Thank you to everyone who came to the st Barnburner. Don't miss the next one:_ https://t.co/65sTdgLGSF,Republican,0.6831808090209961,Republican,1
18148,"Are your insurance premiums going up? ""The problem is,...it's not affordable."" #DefundObamacare #UNAffordableCareAct http://t.co/fr2kUfJGge",Republican,InhofePress,https://twitter.com/InhofePress/status/390530999852871681,"Are your insurance premiums going up? ""The problem is,...it's not affordable."" #DefundObamacare #UNAffordableCareAct http://t.co/fr2kUfJGge",Republican,0.6519644856452942,Republican,1
30818,RT @spurs: Merry Christmas! Here's a full minute of Spurs dunks from today's win: https://t.co/mEPJRbFUQ5,Republican,JohnCornyn,https://twitter.com/JohnCornyn/status/813213873637572608,RT @spurs: Merry Christmas! Here's a full minute of Spurs dunks from today's win: https://t.co/mEPJRbFUQ5,Republican,0.5056257247924805,Republican,1
270915,Thanks to representatives from the Arkansas Association of Area Agencies on Aging for meeting with me yesterday. https://t.co/sy4If9Qt9P,Republican,SenTomCotton,https://twitter.com/SenTomCotton/status/849660512560435204,Thanks to representatives from the Arkansas Association of Area Agencies on Aging for meeting with me yesterday. https://t.co/sy4If9Qt9P,Republican,0.5190247297286987,Republican,1
267240,I'm thrilled to work with @marcorubio &amp; @purduemitch to make higher education more affordable and accessible. https://t.co/Iadeq8YEH4,Republican,SenToddYoung,https://twitter.com/SenToddYoung/status/827174371475066880,I'm thrilled to work with @marcorubio and  @purduemitch to make higher education more affordable and accessible. https://t.co/Iadeq8YEH4,Democrat,0.6472930312156677,Republican,0
6073,"What's happening at the VA is unacceptable, they have created a system to serve bureaucrats not patients http://t.co/MerxxsXiWv #LASEN",Republican,BillCassidy,https://twitter.com/BillCassidy/status/467356077018062848,"What's happening at the VA is unacceptable, they have created a system to serve bureaucrats not patients http://t.co/MerxxsXiWv #LASEN",Democrat,0.6108728051185608,Republican,0
13831,#UNI volleyball   Set 1 we won ovr SoIllinois 25/14,Republican,ChuckGrassley,https://twitter.com/ChuckGrassley/status/789985344812789760,#UNI volleyball Set we won ovr SoIllinois /14,Democrat,0.5994513034820557,Republican,0
34759,Alaskans support offshore Arctic development. I applaud @POTUS's commitment to explore development opportunities:äó_ https://t.co/UUgvFLqDhZ,Republican,lisamurkowski,https://twitter.com/lisamurkowski/status/858047411750666244,Alaskans support offshore Arctic development. I applaud @POTUS's commitment to explore development opportunities:_ https://t.co/UUgvFLqDhZ,Republican,0.5435399413108826,Republican,1
21353,Direct payments have become a symbol of largesse and whatäó»s wrong with agriculture policy.  Time they are eliminated. http://ht.ly/5CsOm,Republican,JeffFlake,https://twitter.com/JeffFlake/status/90802476697137152,Direct payments have become a symbol of largesse and whats wrong with agriculture policy. Time they are eliminated. http://ht.ly/5CsOm,Republican,0.5264889001846313,Republican,1
238205,RT @SBAgov: Today's the day! Are you ready to #ShopSmall? #SmallBizSat https://t.co/wFAwAdMTEd,Republican,SenRonJohnson,https://twitter.com/SenRonJohnson/status/802501037747793920,RT @SBAgov: Today's the day! Are you ready to #ShopSmall? #SmallBizSat https://t.co/wFAwAdMTEd,Republican,0.5246666669845581,Republican,1
